Pregunta;Respuesta
"¿Qué sucede conceptualmente al desempaquetar una tupla como padre, resto = ("Homero", "Marge", "Lisa", "Bart") y qué tipo de dato adopta resto?";"El primer elemento se asigna a padre como str, mientras que el operador  empaqueta los elementos restantes en una list."
"Al ejecutar a, , c, _ = (1, 2, 3, 4), ¿por qué se usa el carácter  y qué valor almacena esa variable al final?";"Se utiliza por convención para ignorar valores. Al finalizar, la variable _ almacena el último valor asignado, que es 4."
"¿Por qué conjunto.add(True) no modifica el tamaño de un conjunto que ya contiene el número entero 1?";"Porque en Python True es equivalente a 1 a nivel de valor y hash. Como los conjuntos no admiten duplicados, el elemento se ignora."
"¿Por qué la sentencia conjunto.add(["7, 8, 9"]) genera un error de tipo TypeError: unhashable type: 'list'?";"Porque los conjuntos requieren que todos sus elementos sean inmutables (hashables). Las listas son mutables y no se pueden agregar directamente."
"Al intentar ejecutar conjunto[3] en un set, ¿qué error ocurre y por qué razón técnica?";"Lanza un TypeError: 'set' object is not subscriptable porque los conjuntos son estructuras no ordenadas y carecen de indexación."
"¿En qué se diferencian los métodos remove() y discard() al intentar eliminar un elemento que NO existe en un conjunto?";"remove() lanza una excepción de tipo KeyError, mientras que discard() ignora el evento sin lanzar ningún error."
"¿Qué valor devuelve el método pop() cuando se invoca sobre un conjunto a diferencia de cuando se ejecuta sobre una lista?";"En un set remueve y devuelve un elemento aleatorio (o no determinado) por no tener orden, mientras que en una list elimina por defecto el último elemento."
"¿Cuál es la diferencia de comportamiento entre los operadores conjunto1.union(conjunto2) e conjunto1.intersection(conjunto2)?";"union() combina todos los elementos únicos de ambos conjuntos, mientras que intersection() conserva únicamente los elementos presentes en ambos."
"¿Qué evaluación lógica realizan los métodos issubset() e issuperset() entre dos conjuntos?";"issubset() verifica si todos los elementos del conjunto actual pertenecen al recibido; issuperset() comprueba si el conjunto actual contiene todos los elementos del conjunto pasado como argumento."
"¿Cuál es la diferencia al aplicar la palabra reservada del sobre una lista en comparación con una tupla o un conjunto?";"En una lista permite eliminar elementos individuales mediante su índice (ej. del lista[0]). En tuplas y conjuntos solo permite eliminar la variable completa."
"¿Por qué la búsqueda mediante el operador in en un set o dict es más eficiente que en una list?";"Porque los conjuntos y diccionarios utilizan tablas hash con acceso de tiempo constante $O(1)$, a diferencia de las listas que realizan una búsqueda lineal $O(n)$."
"¿Cómo evalúa por defecto el operador "clave" in diccionario la pertenencia de un elemento?";"Verifica directamente si el término existe entre las claves (keys) del diccionario. Para verificar valores se debe usar explícitamente .values()."
